 ticks greenbelt-width aq asd greenbelt-position available-locations aq-distribution gb-influence center-outside 
 1018 1 0 0.5 20 45 "uniform" false 3 
 927 1 0 0.5 20 45 "uniform" false 3 
 1754 1 0 0.5 20 45 "uniform" false 3 
 1408 1 0 0.5 20 45 "uniform" false 2 
 1200 1 0 0.5 20 45 "uniform" false 3 
 1093 1 0 0.5 20 45 "uniform" false 3 
 1065 1 0 0.5 20 45 "uniform" false 3 
 1263 1 0 0.5 20 45 "uniform" false 4 
 968 1 0 0.5 20 45 "uniform" false 3 
 1645 1 0 0.5 20 45 "uniform" false 2 
 1254 1 0 0.5 20 45 "uniform" false 2 
 840 1 0 0.5 20 45 "uniform" false 4 
 993 1 0 0.5 20 45 "uniform" false 3 
 1224 1 0 0.5 20 45 "uniform" false 3 
 1108 1 0 0.5 20 45 "uniform" false 4 
 1567 1 0 0.5 20 45 "uniform" false 2 
 1792 1 0 0.5 40 15 "uniform" false 3 
 2294 1 0 0.5 40 15 "uniform" false 4 
 1363 1 0 0.5 40 15 "uniform" false 4 
 2694 1 0 0.5 40 15 "uniform" false 3 
 1837 1 0 0.5 40 15 "uniform" false 1 
 2448 1 0 0.5 40 15 "uniform" false 2 
 1815 1 0 0.5 40 15 "uniform" false 5 
 2409 1 0 0.5 40 15 "uniform" false 4 
 862 1 0 0.5 40 15 "uniform" false 5 
 2379 1 0 0.5 40 15 "uniform" false 5 
 2883 1 0 0.5 40 15 "uniform" false 4 
 3076 1 0 0.5 40 15 "uniform" false 1 
 1725 1 0 0.5 40 15 "uniform" false 5 
 3176 1 0 0.5 40 15 "uniform" false 1 
 2357 1 0 0.5 40 15 "uniform" false 2 
 2702 1 0 0.5 40 15 "uniform" false 4 
 3233 1 0 0.5 40 15 "uniform" false 3 
 2782 1 0 0.5 40 15 "uniform" false 4 
 2925 1 0 0.5 40 15 "uniform" false 4 
 2842 1 0 0.5 40 15 "uniform" false 3 
 2327 1 0 0.5 40 15 "uniform" false 2 
 1288 1 0 0.5 40 15 "uniform" false 4 
 2283 1 0 0.5 40 15 "uniform" false 2 
 2640 1 0 0.5 40 15 "uniform" false 3 
 1848 1 0 0.5 40 15 "uniform" false 3 
 2116 1 0 0.5 40 15 "uniform" false 2 
 2192 1 0 0.5 40 15 "uniform" false 1 
 2400 1 0 0.5 40 15 "uniform" false 4 
 3105 1 0 0.5 40 15 "uniform" false 3 
 2379 1 0 0.5 40 15 "uniform" false 1 
 2589 1 0 0.5 40 30 "uniform" false 1 
 2566 1 0 0.5 40 30 "uniform" false 4 
 2210 1 0 0.5 40 30 "uniform" false 4 
 2597 1 0 0.5 40 30 "uniform" false 2 
 1856 1 0 0.5 40 30 "uniform" false 3 
 1996 1 0 0.5 40 30 "uniform" false 3 
 2260 1 0 0.5 40 30 "uniform" false 3 
 2189 1 0 0.5 40 30 "uniform" false 4 
 1937 1 0 0.5 40 30 "uniform" false 4 
 1425 1 0 0.5 40 30 "uniform" false 4 
 2951 1 0 0.5 40 30 "uniform" false 2 
 2411 1 0 0.5 40 30 "uniform" false 3 
 2903 1 0 0.5 40 30 "uniform" false 3 
 2887 1 0 0.5 40 30 "uniform" false 1 
 2840 1 0 0.5 40 30 "uniform" false 2 
 2514 1 0 0.5 40 30 "uniform" false 3 
 1836 1 0 0.5 40 30 "uniform" false 4 
 2810 1 0 0.5 40 30 "uniform" false 1 
 2240 1 0 0.5 40 30 "uniform" false 3 
 2618 1 0 0.5 40 30 "uniform" false 5 
 3157 1 0 0.5 40 30 "uniform" false 2 
 2095 1 0 0.5 40 30 "uniform" false 3 
 2925 1 0 0.5 40 30 "uniform" false 3 
 1840 1 0 0.5 40 30 "uniform" false 4 
 3011 1 0 0.5 40 30 "uniform" false 3 
 2245 1 0 0.5 40 30 "uniform" false 4 
 2513 1 0 0.5 40 30 "uniform" false 5 
 2894 1 0 0.5 40 30 "uniform" false 2 
 1895 1 0 0.5 40 45 "uniform" false 3 
 2718 1 0 0.5 40 45 "uniform" false 4 
 2499 1 0 0.5 40 45 "uniform" false 1 
 2190 1 0 0.5 40 45 "uniform" false 3 
 2026 1 0 0.5 40 45 "uniform" false 4 
 1939 1 0 0.5 40 45 "uniform" false 4 
 2193 1 0 0.5 40 45 "uniform" false 3 
 1648 1 0 0.5 40 45 "uniform" false 3 
 1913 1 0 0.5 40 45 "uniform" false 5 
 3001 1 0 0.5 40 45 "uniform" false 2 
 2298 1 0 0.5 40 45 "uniform" false 3 
 2230 1 0 0.5 40 45 "uniform" false 3 
 2213 1 0 0.5 40 45 "uniform" false 1 
 2728 1 0 0.5 40 45 "uniform" false 2 
 2553 1 0 0.5 40 45 "uniform" false 1 
 1391 1 0 0.5 40 45 "uniform" false 4 
 2486 1 0 0.5 40 45 "uniform" false 2 
 2183 1 0 0.5 40 45 "uniform" false 4 
 2687 1 0 0.5 40 45 "uniform" false 2 
 3233 1 0 0.5 40 45 "uniform" false 3 
 2447 1 0 0.5 40 45 "uniform" false 5 
 2699 1 0 0.5 40 45 "uniform" false 2 
 2749 1 0 0.5 40 45 "uniform" false 2 
 3109 1 0 0.5 40 45 "uniform" false 4 
 1797 1 0 0.5 40 45 "uniform" false 3 
 1916 1 0 0.5 40 45 "uniform" false 4 
 2895 1 0 0.5 40 45 "uniform" false 3 
 2982 1 0 0.5 40 45 "uniform" false 1 
 3076 1 0 0.5 40 45 "uniform" false 1 
 3027 1 0 0.5 40 45 "uniform" false 2 
 492 15 0 0.5 20 15 "uniform" false 4 
 1157 15 0 0.5 20 15 "uniform" false 4 
 1499 15 0 0.5 20 15 "uniform" false 2 
 1545 15 0 0.5 20 15 "uniform" false 4 
 1420 15 0 0.5 20 15 "uniform" false 4 
 1258 15 0 0.5 20 15 "uniform" false 2 
 1596 15 0 0.5 20 15 "uniform" false 2 
 1349 15 0 0.5 20 15 "uniform" false 4 
 875 15 0 0.5 20 15 "uniform" false 4 
 974 15 0 0.5 20 15 "uniform" false 3 
 1521 15 0 0.5 20 15 "uniform" false 3 
 871 15 0 0.5 20 15 "uniform" false 5 
 1466 15 0 0.5 20 15 "uniform" false 2 
 1561 15 0 0.5 20 15 "uniform" false 4 
 1241 15 0 0.5 20 15 "uniform" false 5 
 877 15 0 0.5 20 15 "uniform" false 1 
 1570 15 0 0.5 20 15 "uniform" false 4 
 1248 15 0 0.5 20 15 "uniform" false 3 
 1501 15 0 0.5 20 15 "uniform" false 2 
 1494 15 0 0.5 20 15 "uniform" false 2 
 1526 15 0 0.5 20 15 "uniform" false 4 
 1679 15 0 0.5 20 15 "uniform" false 0 
 1321 15 0 0.5 20 15 "uniform" false 5 
 1485 15 0 0.5 20 15 "uniform" false 3 
 851 15 0 0.5 20 15 "uniform" false 4 
 1353 15 0 0.5 20 15 "uniform" false 4 
 1116 15 0 0.5 20 15 "uniform" false 3 
 1238 15 0 0.5 20 15 "uniform" false 4 
 1671 15 0 0.5 20 15 "uniform" false 1 
 1653 15 0 0.5 20 15 "uniform" false 1 
 1017 15 0 0.5 20 30 "uniform" false 3 
 1812 15 0 0.5 20 30 "uniform" false 3 
 1774 15 0 0.5 20 30 "uniform" false 3 
 1488 15 0 0.5 20 30 "uniform" false 3 
 1490 15 0 0.5 20 30 "uniform" false 3 
 1830 15 0 0.5 20 30 "uniform" false 3 
 1505 15 0 0.5 20 30 "uniform" false 4 
